구분,2.21(9),2.21(16),2.22(9),2.22(16),2.23(9),2.23(16),2.24(9),2.24(16),2.25(9),2.25(16),2.26(9),2.26(16),2.27(9),2.27(16),2.28(9)
서울,3,2,0,3,22,1,3,1,2,4,4,4,6,1,6
부산,0,0,2,1,10,6,2,13,3,5,8,8,0,3,2
대구,38,42,28,55,123,24,131,42,16,44,134,33,307,115,182
인천,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1
광주,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0
대전,0,0,1,1,0,1,0,0,0,0,0,2,3,1,4
울산,0,0,0,1,0,0,0,1,0,1,0,1,2,5,0
세종,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
경기,1,1,2,4,14,2,10,1,5,2,1,8,4,7,4
강원,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
충북,1,0,2,0,0,0,0,0,0,2,0,0,2,1,1
충남,1,0,0,0,0,0,0,0,0,1,0,1,4,5,4
전북,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0
전남,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
경북,3,0,103,14,45,5,11,12,33,23,19,49,4,24,49
경남,2,2,0,0,7,6,3,0,1,2,2,9,2,7,3
제주,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
